Order_ID,Shipping_Mode,Days_for_shipping_real,Days_for_shipment_scheduled,Order_Item_Quantity,Sales,Order_Profit_Per_Order,Category_Name,Order_Region,Order_Date,Shipping_Date
100025,Standard Class,7,4,5.0,149.51,-7.2,Sports,East,2015-11-03 21:45:56.756756756,2015-11-10 21:45:56.756756756
100026,Second Class,4,2,2.0,90.82,17.87,Clothing,Central,2015-12-10 10:38:33.513513512,2015-12-14 10:38:33.513513512
100027,Standard Class,6,4,2.0,156.31,20.06,Clothing,West,2015-05-28 14:34:57.297297296,2015-06-03 14:34:57.297297296
100028,First Class,6,1,3.0,113.82,12.09,Clothing,South,2018-12-12 00:01:26.486486480,2018-12-18 00:01:26.486486480
100029,First Class,4,2,2.0,31.42,4.04,Clothing,West,2018-08-11 05:43:03.783783776,2018-08-15 05:43:03.783783776
100030,Standard Class,6,4,1.0,69.54,25.6,Sports,South,2018-10-16 00:05:45.945945936,2018-10-22 00:05:45.945945936
100031,First Class,2,1,1.0,182.69,32.8,Electronic Supplies,South,2016-05-20 15:58:33.513513512,2016-05-22 15:58:33.513513512
100032,Standard Class,5,3,2.0,350.63,9.24,Clothing,Central,2015-07-23 03:26:07.567567566,2015-07-28 03:26:07.567567566
100033,Standard Class,3,5,1.0,35.6,-0.87,Sports,Central,2017-06-26 13:37:17.837837840,2017-06-29 13:37:17.837837840
100034,Second Class,2,3,2.0,97.93,,Electronic Supplies,East,2016-12-30 06:27:44.864864864,2017-01-01 06:27:44.864864864
100035,Same Day,2,0,1.0,228.25,40.74,Clothing,Central,2016-06-24 17:46:40.000000000,2016-06-26 17:46:40.000000000
100036,Second Class,5,3,1.0,305.16,47.61,Electronic Supplies,West,2015-10-17 08:51:53.513513512,2015-10-22 08:51:53.513513512
100037,Standard Class,4,4,3.0,131.23,5.9,Sports,South,2017-10-01 00:34:35.675675680,2017-10-05 00:34:35.675675680
100038,Standard Class,5,4,3.0,110.63,15.38,Sports,West,2017-05-03 11:50:37.837837840,2017-05-08 11:50:37.837837840
100039,First Class,2,2,3.0,381.0,19.86,Clothing,East,2018-08-09 18:38:33.513513504,2018-08-11 18:38:33.513513504
100040,Standard Class,4,5,1.0,289.3,47.16,Sports,Central,2015-03-28 05:25:45.945945946,2015-04-01 05:25:45.945945946
100041,Standard Class,4,3,1.0,301.3,56.83,Clothing,East,2016-04-24 08:37:28.648648648,2016-04-28 08:37:28.648648648
100042,Standard Class,6,3,3.0,127.2,8.46,Sports,East,2015-05-21 07:12:25.945945946,2015-05-27 07:12:25.945945946
100043,Standard Class,4,4,3.0,355.63,71.32,Clothing,East,2016-03-31 23:25:24.324324320,2016-04-04 23:25:24.324324320
100044,Second Class,5,3,2.0,48.7,5.8,Electronic Supplies,Central,2018-11-24 11:07:23.243243232,2018-11-29 11:07:23.243243232
100045,Standard Class,6,5,2.0,359.71,53.72,Clothing,East,2016-03-12 23:26:50.810810808,2016-03-18 23:26:50.810810808
100046,First Class,5,1,5.0,165.13,0.86,Clothing,Central,2016-02-09 19:47:44.864864864,2016-02-14 19:47:44.864864864
100047,Standard Class,3,4,2.0,187.51,24.11,Sports,South,2018-09-12 09:22:09.729729728,2018-09-15 09:22:09.729729728
100048,First Class,1,2,2.0,93.28,5.22,Clothing,Central,2017-05-28 08:07:12.432432432,2017-05-29 08:07:12.432432432
100049,First Class,6,2,3.0,53.03,7.85,Sports,Central,2016-10-03 13:57:28.648648648,2016-10-09 13:57:28.648648648
100050,Standard Class,1,4,2.0,184.94,42.05,Electronic Supplies,Central,2018-05-08 05:50:16.216216208,2018-05-09 05:50:16.216216208
100051,Same Day,6,0,2.0,246.76,32.86,Sports,East,2017-04-13 00:47:34.054054048,2017-04-19 00:47:34.054054048
100052,Second Class,4,2,2.0,272.26,10.33,Clothing,West,2018-07-08 14:59:27.567567568,2018-07-12 14:59:27.567567568
100053,Second Class,7,3,4.0,253.82,40.64,Sports,West,2016-01-17 10:35:40.540540540,2016-01-24 10:35:40.540540540
100054,Second Class,6,3,1.0,219.05,31.14,Sports,East,2017-04-24 17:23:36.216216208,2017-04-30 17:23:36.216216208
100055,First Class,9,2,1.0,94.59,25.98,Electronic Supplies,West,2015-02-03 14:43:36.216216216,2015-02-12 14:43:36.216216216
100056,Second Class,4,3,2.0,283.97,37.01,Clothing,East,2015-02-13 20:15:08.108108108,2015-02-17 20:15:08.108108108
100057,Standard Class,5,3,4.0,87.96,5.56,Clothing,West,2017-06-20 17:19:16.756756752,2017-06-25 17:19:16.756756752
100058,Standard Class,4,4,1.0,354.1,60.78,Sports,Central,2015-01-15 14:45:02.702702702,2015-01-19 14:45:02.702702702
100059,Standard Class,4,4,6.0,163.27,16.29,Clothing,East,2015-11-19 23:35:29.729729728,2015-11-23 23:35:29.729729728
100060,Standard Class,5,3,2.0,166.84,19.42,Clothing,West,2018-04-13 09:33:41.621621616,2018-04-18 09:33:41.621621616
100061,Standard Class,6,4,6.0,302.73,10.81,Clothing,South,2016-03-08 14:13:20.000000000,2016-03-14 14:13:20.000000000
100062,Standard Class,8,3,5.0,330.62,33.13,Electronic Supplies,West,2015-03-20 22:03:14.594594594,2015-03-28 22:03:14.594594594
100063,Second Class,5,2,2.0,284.55,32.0,Electronic Supplies,Central,2017-03-03 02:41:26.486486480,2017-03-08 02:41:26.486486480
100064,Standard Class,4,4,1.0,101.16,10.09,Sports,Central,2015-11-02 10:41:26.486486484,2015-11-06 10:41:26.486486484
100065,Standard Class,4,4,1.0,283.08,17.76,Clothing,South,2017-06-01 17:20:43.243243248,2017-06-05 17:20:43.243243248
100066,First Class,5,1,1.0,101.53,13.51,Clothing,Central,2017-10-08 07:57:07.027027024,2017-10-13 07:57:07.027027024
100067,Standard Class,3,4,3.0,287.76,10.39,Electronic Supplies,Central,2017-08-25 11:41:58.918918912,2017-08-28 11:41:58.918918912
100068,Second Class,2,2,1.0,68.28,1.18,Electronic Supplies,Central,2018-06-19 15:00:54.054054048,2018-06-21 15:00:54.054054048
100069,Standard Class,4,3,2.0,162.25,27.06,Electronic Supplies,East,2015-04-13 07:15:18.918918919,2015-04-17 07:15:18.918918919
100070,Same Day,3,0,2.0,101.13,16.12,Sports,Central,2017-03-04 13:45:56.756756752,2017-03-07 13:45:56.756756752
100071,Second Class,3,2,5.0,303.52,1.64,Clothing,East,2015-06-06 09:01:58.918918918,2015-06-09 09:01:58.918918918
100072,Standard Class,3,3,1.0,355.97,-12.94,Electronic Supplies,East,2016-12-21 12:00:43.243243240,2016-12-24 12:00:43.243243240
100073,Standard Class,2,3,1.0,196.24,5.75,Clothing,South,2017-05-12 06:17:39.459459456,2017-05-14 06:17:39.459459456
100074,Second Class,1,2,1.0,192.09,19.16,Clothing,Central,2017-12-18 22:37:50.270270272,2017-12-19 22:37:50.270270272
100075,Second Class,8,2,5.0,272.52,55.14,Sports,East,2016-03-02 17:55:18.918918920,2016-03-10 17:55:18.918918920
100076,Second Class,4,2,3.0,357.35,34.94,Clothing,West,2016-02-27 08:41:48.108108104,2016-03-02 08:41:48.108108104
100077,Second Class,4,3,1.0,176.66,8.56,Clothing,West,2017-08-10 20:56:56.216216208,2017-08-14 20:56:56.216216208
100078,Standard Class,5,5,1.0,124.61,15.19,Clothing,East,2015-02-26 23:55:40.540540540,2015-03-03 23:55:40.540540540
100079,Standard Class,3,4,1.0,262.62,26.49,Clothing,South,2017-05-10 19:13:09.189189184,2017-05-13 19:13:09.189189184
100080,Standard Class,7,4,1.0,51.51,-0.02,Electronic Supplies,Central,2016-03-24 16:02:52.972972968,2016-03-31 16:02:52.972972968
100081,Second Class,6,3,5.0,311.46,-0.0,Clothing,South,2017-09-19 07:58:33.513513504,2017-09-25 07:58:33.513513504
100082,First Class,2,2,4.0,108.68,0.23,Clothing,East,2015-04-07 10:57:17.837837838,2015-04-09 10:57:17.837837838
100083,Standard Class,4,4,2.0,147.5,45.49,Clothing,Central,2016-02-06 21:38:44.324324324,2016-02-10 21:38:44.324324324
100084,Standard Class,6,4,4.0,312.76,55.92,Clothing,South,2015-04-08 22:01:48.108108108,2015-04-14 22:01:48.108108108
100085,Standard Class,7,4,1.0,131.62,8.23,Clothing,West,2016-04-09 17:52:25.945945944,2016-04-16 17:52:25.945945944
100086,Standard Class,4,4,3.0,262.65,52.18,Sports,Central,2017-03-11 21:08:28.108108104,2017-03-15 21:08:28.108108104
100087,Second Class,5,3,4.0,361.51,23.34,Clothing,Central,2018-12-29 12:55:29.729729728,2019-01-03 12:55:29.729729728
100088,First Class,3,1,2.0,185.22,36.31,Sports,Central,2017-11-09 11:36:12.972972976,2017-11-12 11:36:12.972972976
100089,Second Class,9,3,,211.12,24.58,Electronic Supplies,West,2018-01-05 11:31:53.513513504,2018-01-14 11:31:53.513513504
100090,Standard Class,3,5,1.0,159.55,9.14,Sports,Central,2016-04-22 21:32:58.378378376,2016-04-25 21:32:58.378378376
100091,Standard Class,7,5,1.0,185.89,30.56,Clothing,Central,2016-07-12 06:40:43.243243240,2016-07-19 06:40:43.243243240
100092,Second Class,5,3,1.0,83.46,10.1,Clothing,Central,2016-10-21 02:51:31.891891888,2016-10-26 02:51:31.891891888
100093,Second Class,5,3,2.0,142.46,20.21,Electronic Supplies,West,2017-02-01 21:11:21.081081080,2017-02-06 21:11:21.081081080
100094,First Class,4,1,3.0,74.64,9.5,Sports,South,2015-11-15 14:21:58.918918916,2015-11-19 14:21:58.918918916
100095,Second Class,3,3,5.0,96.14,12.15,Electronic Supplies,West,2018-02-24 04:05:02.702702704,2018-02-27 04:05:02.702702704
100096,Standard Class,3,3,3.0,46.9,8.16,Electronic Supplies,Central,2016-09-29 04:43:57.837837832,2016-10-02 04:43:57.837837832
100097,First Class,3,1,4.0,204.7,64.83,Electronic Supplies,South,2018-01-21 13:21:26.486486480,2018-01-24 13:21:26.486486480
100098,Standard Class,3,5,4.0,517.78,108.68,Electronic Supplies,West,2015-05-09 14:36:23.783783784,2015-05-12 14:36:23.783783784
100099,Standard Class,5,5,1.0,128.19,16.35,Sports,South,2015-04-03 01:43:47.027027027,2015-04-08 01:43:47.027027027
100100,Standard Class,4,5,2.0,322.9,27.5,Clothing,East,2018-04-22 04:00:43.243243232,2018-04-26 04:00:43.243243232
100101,Standard Class,2,4,1.0,358.42,33.67,Electronic Supplies,East,2017-11-12 09:45:13.513513504,2017-11-14 09:45:13.513513504
100102,First Class,8,2,3.0,79.09,0.75,Sports,West,2016-05-27 23:21:04.864864864,2016-06-04 23:21:04.864864864
100103,Standard Class,6,3,5.0,90.97,14.84,Clothing,Central,2018-09-29 22:16:12.972972976,2018-10-05 22:16:12.972972976
100104,First Class,7,2,1.0,328.33,9.46,Sports,East,2016-01-10 03:13:09.189189188,2016-01-17 03:13:09.189189188
100105,Second Class,9,3,3.0,162.39,13.02,Sports,South,2017-07-17 00:40:21.621621616,2017-07-26 00:40:21.621621616
100106,Standard Class,3,5,3.0,74.51,12.19,Electronic Supplies,South,2017-07-30 04:20:54.054054048,2017-08-02 04:20:54.054054048
100107,Standard Class,4,4,3.0,113.98,10.37,Sports,South,2017-03-20 15:35:29.729729728,2017-03-24 15:35:29.729729728
100108,Second Class,5,3,2.0,226.51,16.0,Clothing,West,2018-11-02 12:59:49.189189184,2018-11-07 12:59:49.189189184
100109,Standard Class,5,5,2.0,102.92,1.46,Electronic Supplies,Central,2015-09-03 12:36:45.405405404,2015-09-08 12:36:45.405405404
100110,Standard Class,3,4,1.0,28.4,5.86,Electronic Supplies,Central,2018-09-02 03:50:37.837837840,2018-09-05 03:50:37.837837840
100111,Standard Class,6,3,1.0,139.87,6.06,Sports,East,2017-02-10 15:38:22.702702704,2017-02-16 15:38:22.702702704
100112,Standard Class,3,3,1.0,147.43,9.31,Clothing,East,2018-04-17 18:47:12.432432432,2018-04-20 18:47:12.432432432
100113,Second Class,3,2,3.0,173.47,-5.78,Clothing,Central,2018-12-10 12:56:56.216216208,2018-12-13 12:56:56.216216208
100114,Second Class,4,3,1.0,390.83,42.37,Sports,Central,2018-04-07 13:15:40.540540544,2018-04-11 13:15:40.540540544
100115,First Class,5,2,4.0,178.54,14.88,Clothing,West,2015-05-06 16:27:23.243243242,2015-05-11 16:27:23.243243242
100116,Second Class,5,3,2.0,201.93,25.15,Clothing,West,2016-09-23 08:25:56.756756752,2016-09-28 08:25:56.756756752
100117,Second Class,2,3,3.0,342.44,5.49,Sports,South,2015-09-26 21:48:49.729729728,2015-09-28 21:48:49.729729728
100118,Standard Class,6,3,2.0,173.59,29.29,Clothing,West,2018-11-30 07:25:24.324324320,2018-12-06 07:25:24.324324320
100119,Second Class,3,2,2.0,691.41,-25.68,Clothing,West,2017-02-19 10:05:24.324324320,2017-02-22 10:05:24.324324320
100120,First Class,2,2,5.0,75.84,7.78,Clothing,West,2016-03-05 16:04:19.459459456,2016-03-07 16:04:19.459459456
100121,Second Class,6,3,1.0,93.95,11.2,Clothing,South,2018-07-27 14:58:01.081081072,2018-08-02 14:58:01.081081072
100122,Second Class,7,3,1.0,257.0,29.46,Sports,West,2016-09-13 02:54:24.864864864,2016-09-20 02:54:24.864864864
100123,Standard Class,6,4,4.0,389.67,47.78,Clothing,South,2017-11-08 00:31:42.702702704,2017-11-14 00:31:42.702702704
100124,Standard Class,6,3,1.0,151.33,26.19,Clothing,South,2016-01-15 23:31:10.270270268,2016-01-21 23:31:10.270270268
100125,Standard Class,5,5,1.0,89.4,19.31,Sports,South,2015-12-13 08:47:34.054054052,2015-12-18 08:47:34.054054052
100126,Standard Class,4,5,2.0,541.66,52.84,Electronic Supplies,East,2017-03-27 22:58:01.081081080,2017-03-31 22:58:01.081081080
100127,Second Class,2,3,1.0,103.02,3.36,Sports,Central,2017-05-02 00:46:07.567567568,2017-05-04 00:46:07.567567568
100128,Second Class,4,3,3.0,214.95,33.29,Clothing,Central,2016-10-12 08:24:30.270270272,2016-10-16 08:24:30.270270272
100129,Standard Class,4,3,1.0,405.13,35.48,Clothing,Central,2018-06-21 02:05:24.324324320,2018-06-25 02:05:24.324324320
100130,First Class,3,1,5.0,129.41,27.33,Electronic Supplies,Central,2018-03-15 04:03:36.216216208,2018-03-18 04:03:36.216216208
100131,Standard Class,5,4,4.0,115.08,7.12,Clothing,Central,2017-05-25 09:58:11.891891888,2017-05-30 09:58:11.891891888
100132,Standard Class,4,4,3.0,120.31,4.98,Sports,East,2018-05-25 18:44:19.459459456,2018-05-29 18:44:19.459459456
100133,Standard Class,2,4,3.0,309.83,37.65,Clothing,East,2016-01-23 06:53:41.621621620,2016-01-25 06:53:41.621621620
100134,Standard Class,3,3,4.0,343.47,-10.04,Clothing,West,2018-12-25 03:41:58.918918912,2018-12-28 03:41:58.918918912
100135,Second Class,5,2,1.0,176.25,12.8,Electronic Supplies,Central,2017-02-12 02:42:52.972972968,2017-02-17 02:42:52.972972968
100136,Standard Class,2,3,4.0,586.4,49.03,Sports,West,2015-03-22 09:07:44.864864865,2015-03-24 09:07:44.864864865
100137,First Class,6,2,4.0,176.05,22.47,Sports,West,2015-06-25 09:00:32.432432432,2015-07-01 09:00:32.432432432
100138,Second Class,4,2,3.0,399.42,12.1,Clothing,West,2015-11-11 05:08:28.108108108,2015-11-15 05:08:28.108108108
100139,Standard Class,4,5,2.0,130.22,5.16,Clothing,South,2015-02-06 12:52:36.756756756,2015-02-10 12:52:36.756756756
100140,Same Day,5,0,1.0,785.99,159.2,Sports,Central,2015-04-16 05:24:19.459459460,2015-04-21 05:24:19.459459460
100141,Same Day,6,0,2.0,478.47,52.12,Sports,Central,2015-03-06 07:18:11.891891892,2015-03-12 07:18:11.891891892
100142,Standard Class,4,5,4.0,158.67,28.43,Clothing,East,2015-12-27 23:32:36.756756756,2015-12-31 23:32:36.756756756
100143,Standard Class,5,3,1.0,438.1,29.2,Clothing,Central,2017-11-19 17:07:44.864864864,2017-11-24 17:07:44.864864864
100144,Standard Class,5,4,4.0,423.94,44.79,Clothing,West,2016-02-15 16:05:45.945945944,2016-02-20 16:05:45.945945944
100145,Standard Class,3,3,1.0,473.18,,Electronic Supplies,East,2018-07-29 02:02:31.351351344,2018-08-01 02:02:31.351351344
100146,Standard Class,6,3,1.0,34.35,8.58,Sports,Central,2018-08-28 18:37:07.027027024,2018-09-03 18:37:07.027027024
100147,First Class,6,1,1.0,275.22,25.48,Electronic Supplies,Central,2018-03-29 18:48:38.918918912,2018-04-04 18:48:38.918918912
100148,First Class,5,1,1.0,245.3,23.72,Clothing,East,2015-12-23 14:19:05.945945944,2015-12-28 14:19:05.945945944
100149,Standard Class,6,4,2.0,234.21,46.34,Electronic Supplies,West,2018-04-16 07:42:42.162162160,2018-04-22 07:42:42.162162160
100150,Standard Class,6,4,1.0,198.73,15.82,Clothing,West,2016-04-14 03:05:56.756756752,2016-04-20 03:05:56.756756752
100151,Second Class,5,2,6.0,202.57,26.9,Clothing,Central,2017-07-28 17:16:23.783783776,2017-08-02 17:16:23.783783776
100152,Standard Class,6,4,3.0,397.04,75.79,Electronic Supplies,Central,2015-08-19 21:51:42.702702700,2015-08-25 21:51:42.702702700
100153,Standard Class,5,4,1.0,244.85,15.65,Clothing,Central,2018-11-28 20:20:54.054054048,2018-12-03 20:20:54.054054048
100154,Standard Class,5,5,3.0,198.54,27.25,Clothing,Central,2016-09-18 23:12:25.945945944,2016-09-23 23:12:25.945945944
100155,Same Day,5,0,5.0,361.62,90.28,Clothing,South,2018-10-07 05:38:44.324324320,2018-10-12 05:38:44.324324320
100156,Standard Class,5,4,3.0,226.27,41.57,Clothing,Central,2016-11-06 04:41:04.864864864,2016-11-11 04:41:04.864864864
100157,First Class,3,2,1.0,240.76,31.97,Sports,West,2016-03-27 14:11:53.513513512,2016-03-30 14:11:53.513513512
100158,Second Class,6,2,5.0,580.32,53.42,Sports,South,2017-10-15 15:19:38.378378368,2017-10-21 15:19:38.378378368
100159,Standard Class,6,3,4.0,130.01,8.02,Sports,Central,2015-03-29 16:30:16.216216216,2015-04-04 16:30:16.216216216
100160,Second Class,1,2,1.0,64.38,1.99,Sports,East,2018-07-15 22:21:58.918918912,2018-07-16 22:21:58.918918912
100161,Standard Class,6,3,1.0,180.74,41.71,Sports,South,2017-05-19 13:40:10.810810816,2017-05-25 13:40:10.810810816
100162,First Class,2,2,2.0,198.23,42.67,Clothing,South,2018-01-25 22:34:57.297297296,2018-01-27 22:34:57.297297296
100163,First Class,4,1,1.0,275.61,15.83,Clothing,East,2017-08-06 11:43:25.405405408,2017-08-10 11:43:25.405405408
100164,First Class,5,2,4.0,184.89,25.33,Electronic Supplies,West,2017-08-07 22:47:55.675675680,2017-08-12 22:47:55.675675680
100165,Standard Class,3,5,2.0,281.7,33.5,Clothing,South,2018-06-18 03:56:23.783783776,2018-06-21 03:56:23.783783776
100166,Second Class,6,3,5.0,878.31,179.84,Sports,East,2017-09-03 06:09:00.540540544,2017-09-09 06:09:00.540540544
100167,Standard Class,6,5,2.0,290.32,40.83,Clothing,South,2016-03-11 12:22:20.540540536,2016-03-17 12:22:20.540540536
100168,Standard Class,4,4,1.0,325.47,35.21,Sports,East,2017-10-03 22:43:36.216216208,2017-10-07 22:43:36.216216208
100169,Standard Class,1,5,1.0,158.51,10.57,Sports,East,2016-04-03 21:34:24.864864864,2016-04-04 21:34:24.864864864
100170,First Class,3,2,3.0,70.08,9.62,Clothing,South,2016-03-29 01:16:23.783783784,2016-04-01 01:16:23.783783784
100171,First Class,5,2,3.0,38.72,3.18,Clothing,South,2016-06-11 14:06:07.567567568,2016-06-16 14:06:07.567567568
100172,Standard Class,8,3,4.0,123.08,15.71,Sports,East,2016-12-01 00:57:39.459459456,2016-12-09 00:57:39.459459456
100173,First Class,5,2,1.0,32.23,3.35,Clothing,Central,2015-06-10 18:15:29.729729730,2015-06-15 18:15:29.729729730
100174,Standard Class,3,4,1.0,240.76,19.31,Clothing,West,2018-12-16 09:14:57.297297296,2018-12-19 09:14:57.297297296
100175,First Class,5,2,1.0,134.45,4.33,Sports,West,2016-12-11 06:29:11.351351352,2016-12-16 06:29:11.351351352
100176,Standard Class,4,3,3.0,73.43,11.1,Clothing,West,2016-06-14 12:15:08.108108104,2016-06-18 12:15:08.108108104
100177,First Class,5,1,1.0,187.74,21.29,Electronic Supplies,South,2016-01-07 05:04:08.648648648,2016-01-12 05:04:08.648648648
100178,Standard Class,2,3,2.0,106.69,26.99,Clothing,South,2016-01-14 12:26:40.000000000,2016-01-16 12:26:40.000000000
100179,Second Class,5,3,3.0,231.14,6.34,Clothing,East,2018-03-18 02:12:36.756756752,2018-03-23 02:12:36.756756752
100180,Standard Class,4,5,5.0,273.13,43.71,Sports,Central,2017-09-16 09:49:32.972972976,2017-09-20 09:49:32.972972976
100181,Standard Class,8,5,2.0,109.27,11.3,Clothing,East,2016-12-22 23:05:13.513513512,2016-12-30 23:05:13.513513512
100182,Standard Class,4,5,1.0,147.79,41.08,Clothing,West,2017-09-06 04:18:01.081081072,2017-09-10 04:18:01.081081072
100183,Second Class,5,3,3.0,198.28,30.52,Clothing,West,2016-07-04 23:18:11.891891888,2016-07-09 23:18:11.891891888
100184,Second Class,7,2,3.0,69.09,9.39,Clothing,East,2017-02-07 17:29:22.162162160,2017-02-14 17:29:22.162162160
100185,Standard Class,2,3,2.0,198.27,20.54,Clothing,East,2018-05-19 22:26:18.378378368,2018-05-21 22:26:18.378378368
100186,First Class,7,2,5.0,68.02,3.66,Clothing,Central,2015-07-20 05:17:07.027027026,2015-07-27 05:17:07.027027026
100187,Second Class,5,2,4.0,249.07,33.6,Clothing,Central,2016-06-02 19:39:05.945945944,2016-06-07 19:39:05.945945944
100188,First Class,2,2,1.0,129.95,-0.08,Clothing,East,2016-06-17 10:24:08.648648648,2016-06-19 10:24:08.648648648
100189,First Class,3,2,1.0,67.78,0.21,Sports,Central,2018-10-08 16:43:14.594594592,2018-10-11 16:43:14.594594592
100190,Standard Class,5,5,2.0,118.28,22.59,Sports,East,2017-12-30 15:13:52.432432432,2018-01-04 15:13:52.432432432
100191,Standard Class,2,3,4.0,121.57,-3.77,Clothing,East,2018-10-17 11:10:16.216216208,2018-10-19 11:10:16.216216208
100192,Second Class,5,3,1.0,345.34,29.16,Sports,West,2018-04-26 13:14:14.054054048,2018-05-01 13:14:14.054054048
100193,Second Class,4,3,3.0,192.99,5.03,Electronic Supplies,Central,2017-08-16 17:14:57.297297296,2017-08-20 17:14:57.297297296
100194,First Class,5,1,3.0,92.61,7.21,Sports,South,2015-10-18 19:56:23.783783784,2015-10-23 19:56:23.783783784
100195,Standard Class,2,4,1.0,503.66,62.84,Sports,West,2015-11-08 06:59:27.567567568,2015-11-10 06:59:27.567567568
100196,Standard Class,6,3,3.0,259.1,48.91,Clothing,West,2016-08-19 06:37:50.270270272,2016-08-25 06:37:50.270270272
100197,Second Class,8,3,5.0,138.57,28.74,Electronic Supplies,West,2016-04-30 04:55:29.729729728,2016-05-08 04:55:29.729729728
100198,Second Class,8,3,1.0,62.8,2.29,Clothing,Central,2015-10-31 23:36:56.216216216,2015-11-08 23:36:56.216216216
100199,Second Class,5,3,2.0,130.85,9.52,Clothing,East,2017-06-14 21:01:15.675675680,2017-06-19 21:01:15.675675680
100200,Second Class,3,3,2.0,149.41,64.87,Sports,South,2015-04-24 23:51:21.081081080,2015-04-27 23:51:21.081081080
100201,First Class,5,2,5.0,219.18,19.73,Clothing,West,2015-02-12 09:10:37.837837837,2015-02-17 09:10:37.837837837
100202,Standard Class,1,4,6.0,255.88,10.09,Clothing,South,2017-02-20 21:09:54.594594592,2017-02-21 21:09:54.594594592
100203,Standard Class,1,4,2.0,291.28,15.36,Sports,West,2017-10-12 17:10:37.837837840,2017-10-13 17:10:37.837837840
100204,Second Class,4,2,3.0,60.49,5.47,Sports,Central,2017-03-25 00:49:00.540540536,2017-03-29 00:49:00.540540536
100205,First Class,4,2,2.0,197.46,15.52,Sports,Central,2018-05-06 18:45:45.945945936,2018-05-10 18:45:45.945945936
100206,Standard Class,5,5,2.0,155.44,14.18,Electronic Supplies,West,2017-05-21 00:44:41.081081072,2017-05-26 00:44:41.081081072
100207,Standard Class,5,5,1.0,983.07,106.45,Clothing,East,2015-08-30 03:23:14.594594592,2015-09-04 03:23:14.594594592
100208,First Class,4,2,1.0,179.84,19.37,Clothing,Central,2018-09-03 14:55:08.108108096,2018-09-07 14:55:08.108108096
